id,links
F1,"UC2,UC36"
F2,UC16
F3,
F4,"UC6,UC15,UC16,UC18"
F5,"UC14,UC15,UC17,UC21"
F6,"UC24,UC29,UC31,UC32"
F7,"UC31,UC32,UC33"
F8,"UC15,UC32,UC33,UC35"
F9,"UC16,UC19,UC22"
F10,"UC22,UC25"
F11,"UC22,UC24,UC29"
F12,
F13,"UC8,UC21"
F14,"UC15,UC16"
F15,"UC16,UC18"
F16,"UC16,UC21"
F17,"UC19,UC21"
F18,"UC23,UC33,UC40"
F19,UC16
F20,"UC31,UC42"
F21,UC19
F22,UC21
F23,UC23
F24,UC24
F25,"UC17,UC25"
F26,"UC2,UC8"
F27,"UC6,UC8,UC16,UC18"
F28,
F29,UC16
F30,"UC21,UC22,UC24"
F31,"UC15,UC17,UC23,UC33"
F32,"UC23,UC35"
F33,"UC7,UC35"
F34,UC7
F35,
F36,"UC4,UC14"
F37,"UC16,UC17,UC27"
F38,
F39,UC4
F40,"UC15,UC16,UC17"
F41,"UC16,UC17,UC18"
F42,"UC17,UC18,UC19"
F43,"UC18,UC19,UC21,UC23,UC24"
F44,"UC17,UC40"
F45,
F46,"UC27,UC29"
F47,UC27
F48,UC29
F49,UC42
